workload_id,oracle_scheduler,oracle_optimal_score,fcfs_score,sjf_score,rr_score,priority_score,rule_based_scheduler,rule_based_score,rule_based_regret_percent,ml_predicted_scheduler,ml_prediction_confidence,ml_score,ml_regret_percent,fcfs_waiting,fcfs_response,fcfs_turnaround,fcfs_context_switches,sjf_waiting,sjf_response,sjf_turnaround,sjf_context_switches,rr_waiting,rr_response,rr_turnaround,rr_context_switches,priority_waiting,priority_response,priority_turnaround,priority_context_switches
0,FCFS,0.3,0.3,0.3,0.3,0.3,SJF,0.3,0,SJF,0.62,0.3,0,0,0,6.6,4,0,0,6.6,4,0,0,6.6,4,0,0,6.6,4
1,FCFS,0.681095,0.681095,0.681095,0.76,0.681095,Priority,0.681095,0,SJF,0.71,0.681095,0,4.16667,4.16667,13.5,5,4.16667,4.16667,13.5,5,8.16667,0.833333,17.5,22,4.16667,4.16667,13.5,5
2,RR,0.653,0.954545,0.954545,0.653,0.954545,Priority,0.954545,46.1785,SJF,0.79,0.954545,46.1785,1.71429,1.71429,10.7143,6,1.71429,1.71429,10.7143,6,1.42857,0.142857,10.4286,11,1.71429,1.71429,10.7143,6
3,RR,0.693684,0.94375,0.94375,0.693684,0.94375,Priority,0.94375,36.0489,SJF,0.82,0.94375,36.0489,3.125,3.125,11.875,7,3.125,3.125,11.875,7,2.75,0.5,11.5,16,3.125,3.125,11.875,7
4,SJF,0.706522,0.788708,0.706522,0.756757,0.788708,Priority,0.788708,11.6325,SJF,0.59,0.706522,0,8.22222,8.22222,16.8889,8,7.22222,7.22222,15.8889,8,11.2222,1.55556,19.8889,31,8.22222,8.22222,16.8889,8
5,SJF,0.605544,0.774119,0.605544,0.757616,0.692109,Priority,0.692109,14.2954,SJF,0.68,0.605544,0,15.1,15.1,25.8,9,11.4,11.4,22.1,9,20.7,2.9,31.4,50,13.3,13.3,24,9
6,SJF,0.596977,0.912098,0.596977,0.763492,0.807058,Priority,0.807058,35.1908,SJF,0.75,0.596977,0,17.1818,17.1818,25,10,10.6364,10.6364,18.4545,10,17.5455,3.63636,25.3636,43,15,15,22.8182,10
7,SJF,0.624445,0.724779,0.624445,0.765094,0.695269,Priority,0.695269,11.3419,SJF,0.85,0.624445,0,8.83333,8.83333,17.3333,11,7.41667,7.41667,15.9167,11,14.25,1.91667,22.75,45,8.41667,8.41667,16.9167,11
8,SJF,0.495391,0.717343,0.495391,0.686447,0.922222,Priority,0.922222,86.1605,SJF,0.76,0.495391,0,11.2308,11.2308,19.6154,12,7.23077,7.23077,15.6154,12,12.9231,2.84615,21.3077,54,14.9231,14.9231,23.3077,12
9,SJF,0.6104,0.797313,0.6104,0.78871,0.721022,Priority,0.721022,18.1229,SJF,0.78,0.6104,0,13.2857,13.2857,21.6429,13,9.78571,9.78571,18.1429,13,17.3571,3.92857,25.7143,57,11.8571,11.8571,20.2143,13
10,SJF,0.45985,0.776437,0.45985,0.769115,0.7449,Priority,0.7449,61.9874,SJF,0.8,0.45985,0,39.9333,39.9333,49.2,14,22.5333,22.5333,31.8,14,53.4,9.2,62.6667,69,38.2,38.2,47.4667,14
11,SJF,0.60282,0.767117,0.60282,0.768041,0.767117,Priority,0.767117,27.2547,SJF,0.74,0.60282,0,18.1875,18.1875,27.0625,15,13.875,13.875,22.75,15,25.375,4.125,34.25,67,18.1875,18.1875,27.0625,15
12,SJF,0.502597,0.676245,0.502597,0.757471,0.831929,Priority,0.831929,65.5261,SJF,0.73,0.502597,0,36.8824,36.8824,47.6471,16,26.6471,26.6471,37.4118,16,54.2353,8.82353,65,92,46.0588,46.0588,56.8235,16
13,SJF,0.492511,0.679842,0.492511,0.763281,0.766085,Priority,0.766085,55.5468,SJF,0.77,0.492511,0,50.1111,50.1111,61.5556,17,35.3889,35.3889,46.8333,17,77.0556,12,88.5,104,56.8889,56.8889,68.3333,17
14,SJF,0.531535,0.707884,0.531535,0.760396,0.67493,Priority,0.67493,26.9775,SJF,0.7,0.531535,0,79.7368,79.7368,92.0526,18,58.8947,58.8947,71.2105,18,123.842,16.0526,136.158,119,75.8421,75.8421,88.1579,18
15,SJF,0.527684,0.77271,0.527684,0.756533,0.832917,Priority,0.832917,57.8439,SJF,0.74,0.527684,0,51.95,51.95,62.65,19,34.45,34.45,45.15,19,66,10.6,76.7,109,56.25,56.25,66.95,19
16,FCFS,0.3,0.3,0.3,0.3,0.3,Priority,0.3,0,RR,0.48,0.3,0,0,0,7.2,4,0,0,7.2,4,0,0,7.2,4,0,0,7.2,4
17,FCFS,0.728004,0.728004,0.728004,0.733333,0.728004,Priority,0.728004,0,SJF,0.77,0.728004,0,1.5,1.5,10.6667,5,1.5,1.5,10.6667,5,2.83333,0.166667,12,13,1.5,1.5,10.6667,5
18,SJF,0.608298,0.808361,0.608298,0.754545,0.808361,Priority,0.808361,32.889,SJF,0.84,0.608298,0,3.14286,3.14286,12.7143,6,2.14286,2.14286,11.7143,6,4.42857,0.571429,14,14,3.14286,3.14286,12.7143,6
19,SJF,0.630898,0.688196,0.630898,0.765625,0.649997,RR,0.765625,21.3548,SJF,0.9,0.630898,0,16,16,28.625,7,14.5,14.5,27.125,7,27.625,3.5,40.25,49,15,15,27.625,7
