workload_id,oracle_scheduler,oracle_optimal_score,fcfs_score,sjf_score,rr_score,priority_score,rule_based_scheduler,rule_based_score,rule_based_regret_percent,ml_predicted_scheduler,ml_prediction_confidence,ml_score,ml_regret_percent,fcfs_waiting,fcfs_response,fcfs_turnaround,fcfs_context_switches,sjf_waiting,sjf_response,sjf_turnaround,sjf_context_switches,rr_waiting,rr_response,rr_turnaround,rr_context_switches,priority_waiting,priority_response,priority_turnaround,priority_context_switches
0,SJF,0.590752,0.661285,0.590752,0.733333,0.731818,Priority,0.731818,23.8789,SJF,1,0.590752,0,11.2,11.2,25.4,4,9.8,9.8,24,4,19.4,1.4,33.6,32,12.6,12.6,26.8,4
1,RR,0.390061,0.9625,0.9625,0.390061,0.9625,Priority,0.9625,146.756,SJF,1,0.9625,146.756,2.83333,2.83333,14.5,5,2.83333,2.83333,14.5,5,0.833333,0,12.5,8,2.83333,2.83333,14.5,5
2,RR,0.7,0.857573,0.857573,0.7,0.857573,Priority,0.857573,22.5104,SJF,1,0.857573,22.5104,2.85714,2.85714,15,6,2.85714,2.85714,15,6,3.42857,0,15.5714,19,2.85714,2.85714,15,6
3,SJF,0.630504,0.637356,0.630504,0.752174,0.733279,Priority,0.733279,16.3004,SJF,1,0.630504,0,9.75,9.75,22.5,7,9.625,9.625,22.375,7,18,2,30.75,35,11.5,11.5,24.25,7
4,SJF,0.587168,0.748471,0.587168,0.748148,0.881309,Priority,0.881309,50.0948,SJF,1,0.587168,0,7.44444,7.44444,14.7778,8,5.55556,5.55556,12.8889,8,9.88889,1.44444,17.2222,29,9,9,16.3333,8
5,SJF,0.572837,0.704703,0.572837,0.761694,0.632306,Priority,0.632306,10.3815,SJF,1,0.572837,0,24.8,24.8,38,9,19.7,19.7,32.9,9,40,5.1,53.2,65,22,22,35.2,9
6,SJF,0.535944,0.775032,0.535944,0.770293,0.698288,Priority,0.698288,30.291,SJF,1,0.535944,0,21.7273,21.7273,31.6364,10,14.3636,14.3636,24.2727,10,29.4545,5.09091,39.3636,52,19.3636,19.3636,29.2727,10
7,SJF,0.57393,0.766898,0.57393,0.758131,0.672826,Priority,0.672826,17.2313,SJF,1,0.57393,0,24.0833,24.0833,36.0833,11,17.4167,17.4167,29.4167,11,33.1667,4.66667,45.1667,66,20.8333,20.8333,32.8333,11
8,SJF,0.53141,0.723497,0.53141,0.761888,0.754711,Priority,0.754711,42.0206,SJF,1,0.53141,0,21,21,31,12,14.8462,14.8462,24.8462,12,31.3846,4.53846,41.3846,61,22,22,32,12
9,SJF,0.531735,0.72059,0.531735,0.767712,0.581001,Priority,0.581001,9.26524,SJF,1,0.531735,0,22.7857,22.7857,33.4286,13,16.2143,16.2143,26.8571,13,35.5714,5.14286,46.2143,66,17.9286,17.9286,28.5714,13
10,SJF,0.548698,0.701732,0.548698,0.774352,0.830717,Priority,0.830717,51.3977,SJF,1,0.548698,0,19.2,19.2,28.8,14,14.5333,14.5333,24.1333,14,27.6667,5.73333,37.2667,68,23.1333,23.1333,32.7333,14
11,SJF,0.54999,0.716361,0.54999,0.745681,0.751286,Priority,0.751286,36.6,SJF,1,0.54999,0,66.75,66.75,80.5,15,50.375,50.375,64.125,15,97.75,10.6875,111.5,111,70.1875,70.1875,83.9375,15
12,SJF,0.484843,0.789505,0.484843,0.714922,0.919512,Priority,0.919512,89.6517,SJF,1,0.484843,0,32.7059,32.7059,42.2941,16,19.0588,19.0588,28.6471,16,36.0588,6.52941,45.6471,82,38.5294,38.5294,48.1176,16
13,SJF,0.557037,0.681932,0.557037,0.793089,0.684534,Priority,0.684534,22.8883,SJF,1,0.557037,0,40.8333,40.8333,51.5,17,32.8333,32.8333,43.5,17,69.1111,12.7222,79.7778,96,41,41,51.6667,17
14,SJF,0.530096,0.704673,0.530096,0.752475,0.815154,Priority,0.815154,53.7747,SJF,1,0.530096,0,40.9474,40.9474,51.7368,18,30.0526,30.0526,40.8421,18,58.3158,8.36842,69.1053,104,47.8421,47.8421,58.6316,18
15,SJF,0.472348,0.860745,0.472348,0.757487,0.838648,Priority,0.838648,77.5488,SJF,1,0.472348,0,47.75,47.75,56.75,19,24.9,24.9,33.9,19,53.3,9.15,62.3,94,46.45,46.45,55.45,19
16,RR,0.75,0.797778,0.797778,0.75,0.797778,Priority,0.797778,6.37037,RR,1,0.75,0,1.2,1.2,8.4,4,1.2,1.2,8.4,4,1.8,0.2,9,9,1.2,1.2,8.4,4
17,FCFS,0.679884,0.679884,0.679884,0.731034,0.679884,SJF,0.679884,0,SJF,1,0.679884,0,4.83333,4.83333,17.8333,5,4.83333,4.83333,17.8333,5,9.5,0.5,22.5,28,4.83333,4.83333,17.8333,5
18,SJF,0.66015,0.673872,0.66015,0.757143,0.701316,RR,0.757143,14.6925,SJF,1,0.66015,0,5.71429,5.71429,16.5714,6,5.57143,5.57143,16.4286,6,10.8571,1.14286,21.7143,24,6,6,16.8571,6
19,SJF,0.657628,0.733728,0.657628,0.74186,0.764168,FCFS,0.733728,11.5718,SJF,1,0.657628,0,10.25,10.25,23.625,7,9,9,22.375,7,15.375,1.5,28.75,42,10.75,10.75,24.125,7
