workload_id,oracle_scheduler,oracle_optimal_score,fcfs_score,sjf_score,rr_score,priority_score,rule_based_scheduler,rule_based_score,rule_based_regret_percent,ml_predicted_scheduler,ml_prediction_confidence,ml_score,ml_regret_percent,fcfs_waiting,fcfs_response,fcfs_turnaround,fcfs_context_switches,sjf_waiting,sjf_response,sjf_turnaround,sjf_context_switches,rr_waiting,rr_response,rr_turnaround,rr_context_switches,priority_waiting,priority_response,priority_turnaround,priority_context_switches
0,FCFS,0.3,0.3,0.3,0.3,0.3,FCFS,0.3,0,SJF,0.61,0.3,0,0,0,9.4,4,0,0,9.4,4,0,0,9.4,4,0,0,9.4,4
1,SJF,0.659269,0.869752,0.659269,0.728571,0.869752,RR,0.728571,10.5121,SJF,0.62,0.659269,0,7,7,16.8333,5,5,5,14.8333,5,7.83333,0.666667,17.6667,23,7,7,16.8333,5
2,SJF,0.642705,0.648554,0.642705,0.727273,0.671946,Priority,0.671946,4.54968,SJF,0.74,0.642705,0,13.5714,13.5714,30.7143,6,13.4286,13.4286,30.5714,6,26.4286,1.28571,43.5714,42,14.1429,14.1429,31.2857,6
3,SJF,0.666398,0.807334,0.666398,0.75,0.807334,Priority,0.807334,21.149,SJF,0.76,0.666398,0,10.5,10.5,21.625,7,8.375,8.375,19.5,7,13.5,1.75,24.625,34,10.5,10.5,21.625,7
4,SJF,0.708566,0.749545,0.708566,0.719672,0.749545,Priority,0.749545,5.78337,SJF,0.85,0.708566,0,6.77778,6.77778,18.1111,8,6.33333,6.33333,17.6667,8,10.3333,0.444444,21.6667,40,6.77778,6.77778,18.1111,8
5,SJF,0.566883,0.65744,0.566883,0.753731,0.682982,Priority,0.682982,20.4803,SJF,0.93,0.566883,0,25.7,25.7,40.2,9,21.8,21.8,36.3,9,45.9,4.8,60.4,71,26.8,26.8,41.3,9
6,SJF,0.598045,0.745822,0.598045,0.74898,0.642826,Priority,0.642826,7.48788,SJF,0.75,0.598045,0,13.3636,13.3636,23.7273,10,10.3636,10.3636,20.7273,10,19.8182,2.18182,30.1818,53,11.2727,11.2727,21.6364,10
7,SJF,0.558391,0.708008,0.558391,0.750694,0.734782,Priority,0.734782,31.589,SJF,0.85,0.558391,0,34.5833,34.5833,47.5,11,26.6667,26.6667,39.5833,11,53.0833,6.08333,66,72,36,36,48.9167,11
8,SJF,0.568419,0.678328,0.568419,0.757182,0.708958,Priority,0.708958,24.7244,SJF,0.84,0.568419,0,26.5385,26.5385,37.7692,12,21.8462,21.8462,33.0769,12,44.2308,5.30769,55.4615,74,27.8462,27.8462,39.0769,12
9,SJF,0.550623,0.768194,0.550623,0.748235,0.670287,Priority,0.670287,21.7325,SJF,0.69,0.550623,0,18.2143,18.2143,27.5,13,12.5,12.5,21.7857,13,25.2857,2.92857,34.5714,62,15.6429,15.6429,24.9286,13
10,SJF,0.4097,0.677596,0.4097,0.607404,0.928571,Priority,0.928571,126.646,SJF,0.69,0.4097,0,14.0667,14.0667,21.4667,14,7.73333,7.73333,15.1333,14,14.6667,3.53333,22.0667,49,20,20,27.4,14
11,SJF,0.555419,0.707882,0.555419,0.766804,0.662008,Priority,0.662008,19.1907,SJF,0.84,0.555419,0,30.3125,30.3125,41.125,15,23.25,23.25,34.0625,15,48.1875,6.75,59,89,28.1875,28.1875,39,15
12,SJF,0.468634,0.724786,0.468634,0.740503,0.908669,Priority,0.908669,93.8972,SJF,0.83,0.468634,0,49.7059,49.7059,61.1176,16,30.9412,30.9412,42.3529,16,64,8.52941,75.4118,100,63.1765,63.1765,74.5882,16
13,SJF,0.50168,0.788259,0.50168,0.751204,0.836159,Priority,0.836159,66.6718,SJF,0.7,0.50168,0,49.8333,49.8333,60.7222,17,30.5556,30.5556,41.4444,17,61.8889,9.05556,72.7778,97,53.0556,53.0556,63.9444,17
14,SJF,0.485576,0.713601,0.485576,0.759509,0.796519,Priority,0.796519,64.0361,SJF,0.58,0.485576,0,45.7895,45.7895,55.7895,18,30.1579,30.1579,40.1579,18,65.4737,10.2105,75.4737,94,51.4737,51.4737,61.4737,18
15,SJF,0.500456,0.739875,0.500456,0.767059,0.589069,Priority,0.589069,17.7063,SJF,0.87,0.500456,0,63.75,63.75,74.45,19,42,42,52.7,19,91.9,14.25,102.6,110,50.05,50.05,60.75,19
16,RR,0.7,0.701544,0.701544,0.7,0.701544,Priority,0.701544,0.220629,SJF,0.66,0.701544,0.220629,2,2,12.8,4,2,2,12.8,4,4,0,14.8,14,2,2,12.8,4
17,FCFS,0.686448,0.686448,0.686448,0.740541,0.686448,Priority,0.686448,0,SJF,0.83,0.686448,0,6.16667,6.16667,16.6667,5,6.16667,6.16667,16.6667,5,11.3333,0.833333,21.8333,31,6.16667,6.16667,16.6667,5
18,FCFS,0.691608,0.691608,0.691608,0.747368,0.752731,RR,0.747368,8.06248,SJF,0.81,0.691608,0,2.42857,2.42857,13.2857,6,2.42857,2.42857,13.2857,6,4.42857,0.428571,15.2857,20,2.71429,2.71429,13.5714,6
19,RR,0.570513,0.97,0.97,0.570513,0.97,Priority,0.97,70.0225,SJF,0.68,0.97,70.0225,1.5,1.5,9.75,7,1.5,1.5,9.75,7,0.875,0.25,9.125,10,1.5,1.5,9.75,7
