workload_id,oracle_scheduler,oracle_optimal_score,fcfs_score,sjf_score,rr_score,priority_score,rule_based_scheduler,rule_based_score,rule_based_regret_percent,ml_predicted_scheduler,ml_prediction_confidence,ml_score,ml_regret_percent,fcfs_waiting,fcfs_response,fcfs_turnaround,fcfs_context_switches,sjf_waiting,sjf_response,sjf_turnaround,sjf_context_switches,rr_waiting,rr_response,rr_turnaround,rr_context_switches,priority_waiting,priority_response,priority_turnaround,priority_context_switches
0,RR,0.723077,0.728657,0.728657,0.723077,0.728657,FCFS,0.728657,0.771746,SJF,1,0.728657,0.771746,2.6,2.6,14.6,4,2.6,2.6,14.6,4,4.6,0.2,16.6,15,2.6,2.6,14.6,4
1,RR,0.8125,0.863443,0.863443,0.8125,0.863443,Priority,0.863443,6.26986,SJF,1,0.863443,6.26986,1.33333,1.33333,9.83333,5,1.33333,1.33333,9.83333,5,1.66667,0.5,10.1667,10,1.33333,1.33333,9.83333,5
2,RR,0.76,0.775,0.775,0.76,0.775,Priority,0.775,1.97368,SJF,1,0.775,1.97368,2.85714,2.85714,10,6,2.85714,2.85714,10,6,4.28571,0.571429,11.4286,18,2.85714,2.85714,10,6
3,RR,0.615238,0.933333,0.933333,0.615238,0.933333,SJF,0.933333,51.7028,SJF,1,0.933333,51.7028,4.375,4.375,13.125,7,4.375,4.375,13.125,7,3.5,0.125,12.25,21,4.375,4.375,13.125,7
4,SJF,0.577935,0.899568,0.577935,0.74878,0.648694,Priority,0.648694,12.2435,SJF,1,0.577935,0,13.6667,13.6667,24.2222,8,8.11111,8.11111,18.6667,8,14.3333,2.22222,24.8889,34,9.33333,9.33333,19.8889,8
5,SJF,0.683449,0.793689,0.683449,0.7425,0.799491,Priority,0.799491,16.9789,SJF,1,0.683449,0,11.9,11.9,23.4,9,10,10,21.5,9,15.6,1.7,27.1,49,12,12,23.5,9
6,SJF,0.655409,0.777987,0.655409,0.746012,0.735719,Priority,0.735719,12.2533,SJF,1,0.655409,0,14.8182,14.8182,26.2727,10,12.1818,12.1818,23.6364,10,20.0909,2.27273,31.5455,61,13.9091,13.9091,25.3636,10
7,SJF,0.679498,0.713189,0.679498,0.765116,0.679498,Priority,0.679498,0,SJF,1,0.679498,0,10.75,10.75,20.8333,11,10.1667,10.1667,20.25,11,17.6667,2.33333,27.75,56,10.1667,10.1667,20.25,11
8,SJF,0.432796,0.747357,0.432796,0.769821,0.80231,Priority,0.80231,85.3784,SJF,1,0.432796,0,27.8462,27.8462,38.2308,12,15.0769,15.0769,25.4615,12,38,7,48.3846,65,30.0769,30.0769,40.4615,12
9,SJF,0.51458,0.778162,0.51458,0.768345,0.674796,Priority,0.674796,31.1354,SJF,1,0.51458,0,29.7857,29.7857,39.5,13,18.8571,18.8571,28.5714,13,39.9286,6.78571,49.6429,63,25.5,25.5,35.2143,13
10,SJF,0.498688,0.801968,0.498688,0.766916,0.760252,Priority,0.760252,52.4506,SJF,1,0.498688,0,44.5333,44.5333,55,14,26.6,26.6,37.0667,14,55.8667,9.93333,66.3333,81,42.0667,42.0667,52.5333,14
11,SJF,0.629435,0.710071,0.629435,0.759398,0.832946,Priority,0.832946,32.3323,SJF,1,0.629435,0,20.9375,20.9375,29.875,15,18.3125,18.3125,27.25,15,29.625,4.9375,38.5625,73,24.9375,24.9375,33.875,15
12,SJF,0.517428,0.81646,0.517428,0.750896,0.618328,Priority,0.618328,19.5004,SJF,1,0.517428,0,49.2353,49.2353,60.7059,16,30.0588,30.0588,41.5294,16,59.7647,8.35294,71.2353,97,36.5294,36.5294,48,16
13,SJF,0.563001,0.695975,0.563001,0.752545,0.680176,Priority,0.680176,20.8125,SJF,1,0.563001,0,84.0556,84.0556,97.3889,17,67.2222,67.2222,80.5556,17,134.389,14.7222,147.722,122,82.0556,82.0556,95.3889,17
14,SJF,0.511262,0.782023,0.511262,0.752582,0.849984,Priority,0.849984,66.252,SJF,1,0.511262,0,35.4211,35.4211,45.2105,18,22.2105,22.2105,32,18,44.2105,6.78947,54,91,38.7368,38.7368,48.5263,18
15,SJF,0.480351,0.691498,0.480351,0.755347,0.739106,Priority,0.739106,53.8679,SJF,1,0.480351,0,74.55,74.55,86.2,19,50.6,50.6,62.25,19,114.85,14.75,126.5,120,79.95,79.95,91.6,19
16,FCFS,0.694789,0.694789,0.694789,0.7,0.694789,Priority,0.694789,0,RR,1,0.7,0.749969,1.8,1.8,15.2,4,1.8,1.8,15.2,4,3.8,0,17.2,14,1.8,1.8,15.2,4
17,RR,0.7,0.743961,0.743961,0.7,0.743961,Priority,0.743961,6.28019,SJF,1,0.743961,6.28019,0.666667,0.666667,10.8333,5,0.666667,0.666667,10.8333,5,1.33333,0,11.5,9,0.666667,0.666667,10.8333,5
18,SJF,0.537209,0.766053,0.537209,0.775,0.557551,Priority,0.557551,3.78655,SJF,1,0.537209,0,19.4286,19.4286,30.5714,6,13,13,24.1429,6,26.8571,4.85714,38,38,13.5714,13.5714,24.7143,6
19,RR,0.770588,0.795972,0.795972,0.770588,0.795972,Priority,0.795972,3.2941,SJF,1,0.795972,3.2941,2.125,2.125,10.625,7,2.125,2.125,10.625,7,3.125,0.5,11.625,17,2.125,2.125,10.625,7
